Title,Notes
"PA.II.B.K1 – Passenger briefing","Review required passenger briefing items before flight (seat belts, shoulder harnesses, exits, smoking, survival equipment). FAA refs: PHAK Ch. 15, PHAK Ch. 2, 14 CFR 91.107. Link: https://www.ecfr.gov/current/title-14/section-91.107"
"PA.II.D.K2 – Taxi instructions","Practice reading back taxi clearances and following taxi routes at towered airports. FAA refs: PHAK Ch. 14, AIM 4-3-18, AIM 2-3-4. AIM link (taxi procedures): https://www.faa.gov/air_traffic/publications/atpubs/aim_html/chap4_section_3.html"
"PA.II.D.K5 – Aircraft lighting","Review when each light is required: position/nav, beacon, strobes, landing, taxi; day vs night rules. FAA refs: PHAK Ch. 11, AIM 4-3-23, 14 CFR 91.209. Link: https://www.ecfr.gov/current/title-14/section-91.209"
"PA.III.A.K8 – NTSB reporting","Memorize when NTSB notification and written reports are required (accident vs incident, serious injury, substantial damage, in-flight fire, etc.). FAA refs: PHAK safety sections, 49 CFR Part 830. Link: https://www.ecfr.gov/current/title-49/part-830"
"PA.IV.C.K4 – Ground effect","Understand ground effect, how it reduces induced drag, and how it affects soft-field takeoff and initial climb (floating, premature liftoff). FAA refs: AFH Ch. 5 (Takeoffs), PHAK Ch. 5 (Aerodynamics of Flight)."
"PA.IV.F.K3 – Wind correction on approach and landing","Review crosswind and short-field landing techniques: crab vs slip, aileron and rudder use, aiming point and go-around criteria. FAA refs: AFH Ch. 8 (Approaches and Landings), AFH Ch. 7, PHAK Ch. 13."
"PA.V.A.K2c – Maneuvering speed vs weight","Review definition of Va and how it decreases with weight; why this matters for steep turns and turbulence. FAA refs: PHAK Ch. 4 (Aerodynamics and Stability), AFH Ch. 6 (Performance Maneuvers)."
"PA.V.B.K4 – Rectangular course and traffic pattern","Connect ground reference rectangular course to standard traffic pattern legs and wind correction. FAA refs: AFH Ch. 6 (Ground Reference Maneuvers), PHAK Ch. 13 (Airport Operations)."
"PA.VI.D.K2 – Lost procedures and ATC assistance","Build a step-by-step lost procedures flow (climb, confess, communicate, conserve, comply) and ATC radar assistance options. FAA refs: PHAK Ch. 16 (Navigation), AIM 6-2-5, AIM 5-3-1."
"PA.IX.A.K2 – Emergency descent","Memorize POH-specific emergency descent procedure (memory items) and practice the sequence. FAA refs: AFH Ch. 16 (Emergency Operations), PHAK Ch. 17 (Emergency Procedures), your aircraft POH."
"PA.XII.A.K1 – Shutdown, securing, postflight","Standardize shutdown and securing: mixture, mags, master, fuel, control lock, tie-downs, chocks, covers, postflight walk-around. FAA refs: AFH Ch. 2 (Ground Operations), PHAK Ch. 2, POH."
