Due Date,Title,Tag,Notes
2025-12-05,Dec 05 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-05,Dec 05 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-05,Dec 05 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-05,Dec 05 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
2025-12-06,Dec 06 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-06,Dec 06 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-06,Dec 06 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-06,Dec 06 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
2025-12-07,Dec 07 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-07,Dec 07 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-07,Dec 07 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-07,Dec 07 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
2025-12-08,Dec 08 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-08,Dec 08 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-08,Dec 08 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-08,Dec 08 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
2025-12-09,Dec 09 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-09,Dec 09 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-09,Dec 09 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-09,Dec 09 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
2025-12-10,Dec 10 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-10,Dec 10 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-10,Dec 10 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-10,Dec 10 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
2025-12-11,Dec 11 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-11,Dec 11 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-11,Dec 11 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-11,Dec 11 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
2025-12-12,Dec 12 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-12,Dec 12 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-12,Dec 12 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-12,Dec 12 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
2025-12-13,Dec 13 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-13,Dec 13 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-13,Dec 13 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-13,Dec 13 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
2025-12-14,Dec 14 – Sectional Charts,,"Study Miami TAC, airspace classifications, obstacles."
2025-12-14,Dec 14 – 61.107 Maneuvers,,"Study maneuvers: slow flight, stalls, steep turns, emergencies."
2025-12-14,Dec 14 – FAA Debrief,,Review weak areas from FAA written exam.
2025-12-14,Dec 14 – Oral Binder,,"Review oral exam topics: systems, regs, weather, emergencies."
